Model,Java Method,Human Written Comment,PoS Tagging of Human Written Comment,Model's Prediction,PoS Tagging of Model's Prediction,Round,Score,Normalized Score,Bleu Score
CodeBert,public AvailableParameters withParameter(String... values) { for (String value: values) { getParameter().add(value); } return this; },sets the value of the parameter property,sets_VBZ the_DT value_NN of_IN the_DT parameter_NN property_NN,sets the parameters,sets_VBZ the_DT parameters_NNS,1.0,2.0,0.45,0.18
,public boolean containsKey(String key) { return mValues.containsKey(key); },returns true if this object has the named value,returns_NNS true_JJ if_IN this_DT object_NN has_VBZ the_DT named_VBN value_NN,returns true if the map contains the specified key,returns_VBZ true_JJ if_IN the_DT map_NN contains_VBZ the_DT specified_VBN key_NN,1.0,2.0,0.45,0.44
,public int getColourDepth() { return iconEntry == null ? -1 : iconEntry.sBitCount; },the colour depth of the ico image (bits per pixel),the_DT colour_NN depth_NN of_IN the_DT ico_NN image_NN (_-LRB- bits_NNS per_IN pixel_NN )_-RRB-,returns the depth of the colour,returns_NNS the_DT depth_NN of_IN the_DT colour_NN,1.0,2.0,0.45,0.43
,public void start(BundleContext context) { m_context = context; WindowTracker tracker = launcher.setWindowTracker(new WindowTracker( m_context)); tracker.open(); },starts service tracking for text editor,starts_VBZ service_NN tracking_NN for_IN text_NN editor_NN,starts this bundle,starts_VBZ this_DT bundle_NN,1.0,2.0,0.45,0.12
,"public void testGetFacilityString() { String expected = ""kern user mail daemon auth syslog lpr news "" + ""uucp cron authpriv ftp local0 local1 local2 local3 "" + ""local4 local5 local6 local7 ""; StringBuffer actual = new StringBuffer(); for (int i = 0; i <= 11; i++) { actual.append(SyslogAppender.getFacilityString(i << 3)); actual.append(' '); } for (int i = 16; i <= 23; i++) { actual.append(SyslogAppender.getFacilityString(i << 3)); actual.append(' '); } assertEquals(expected, actual.toString()); }",test getfacilitystring for expected facility codes,test_NN getfacilitystring_VBG for_IN expected_VBN facility_NN codes_NNS,tests getting the facility string,tests_NNS getting_VBG the_DT facility_NN string_NN,1.0,2.0,0.45,0.16
NeuralCodeSum,public DoubleVector dividedBy ( DoubleVector v ) { return copy().dividedByEquals( v ); },divided by another doublevector element by element,divided_VBN by_IN another_DT doublevector_NN element_NN by_IN element_NN,expvector divided product,expvector_NN divided_VBN product_NN,2.0,2.0,0.45,0.09
,"public boolean getMethod(OutputStream oStream) throws IOException { return getMethod(oStream, true); }",execute the get method for the given path,execute_VB the_DT get_NN method_NN for_IN the_DT given_VBN path_NN,returns whether the underlying stream implements the } interface,returns_NNS whether_IN the_DT underlying_VBG stream_NN implements_VBZ the_DT }_-RRB- interface_NN,1.0,2.0,0.45,0.22
,"public void setListenForNetworkTickles(boolean flag) { Settings.setListenForNetworkTickles(mContentResolver, flag); }",set whether or not the device should listen for tickles,set_NN whether_IN or_CC not_RB the_DT device_NN should_MD listen_VB for_IN tickles_NNS,set whether or not the network send } for network discovery,set_VBN whether_IN or_CC not_RB the_DT network_NN send_VB }_-RRB- for_IN network_NN discovery_NN,1.0,-2.0,0.09,0.55
Code2Seq,public void setprojectviewcontroller(projectviewcontroller controller){ this.projectviewcontroller = controller; },if attaching it to the projectdetailview,if_IN attaching_VBG it_PRP to_IN the_DT projectdetailview_NN,sets the project view,sets_VBZ the_DT project_NN view_NN,2.0,2.0,0.45,0.15
,public double getToleranceParameter() { return m_smoTParameter; },get the value of t used with smo,get_VB the_DT value_NN of_IN t_NN used_VBN with_IN smo_NN,returns the parameter value,returns_VBZ the_DT parameter_NN value_NN,2.0,2.0,0.45,0.18
,public double getRandomWidthFactor() { return m_RandomWidthFactor; },gets the multiplier when generating random codes will generate numclasses m_randomwidthfactor codes,gets_VBZ the_DT multiplier_JJR when_WRB generating_VBG random_JJ codes_NNS will_MD generate_VB numclasses_NNS m_randomwidthfactor_NN codes_NNS,returns the factor,returns_VBZ the_DT factor_NN,2.0,2.0,0.45,0.02
